model_code,model,registry_id,implementation_parameter,manuscript_symbol,description,estimate,status,lower_bound,upper_bound
E,Emotion-based learning boost + LPP-based learning boost for all items,EEM_eCMR_LPP_General,source_learning_rate,\omega,Source learning relative to temporal learning,1.0371969938278198,free,2.220446049250313e-16,10.0
E,Emotion-based learning boost + LPP-based learning boost for all items,EEM_eCMR_LPP_General,emotion_scale,\phi_{\mathrm{emot}},Categorical multiplier for negative items,7.524982452392578,free,2.220446049250313e-16,10.0
E,Emotion-based learning boost + LPP-based learning boost for all items,EEM_eCMR_LPP_General,lpp_main_scale,\kappa,General Early-LPP slope on log learning strength,0.20798726379871368,free,0.0,0.21454430108484696
E,Emotion-based learning boost + LPP-based learning boost for all items,EEM_eCMR_LPP_General,lpp_inter_scale,\kappa_{\mathrm{emot}},Emotion-dependent Early-LPP slope increment,0.0,fixed,,
F,Emotion-based learning boost + LPP-based learning boost for negative items only,EEM_eCMR_LPP_EmotionalOnly,encoding_drift_rate,\beta_{\mathrm{enc}}^{T},Temporal-context drift at study,0.8090680241584778,free,2.220446049250313e-16,0.9999999999999998
F,Emotion-based learning boost + LPP-based learning boost for negative items only,EEM_eCMR_LPP_EmotionalOnly,source_encoding_drift_rate,\beta_{\mathrm{enc}}^{S},Source-context drift at study,0.08675140887498856,free,2.220446049250313e-16,0.9999999999999998
F,Emotion-based learning boost + LPP-based learning boost for negative items only,EEM_eCMR_LPP_EmotionalOnly,start_drift_rate,\beta_{\mathrm{start}},Pre-recall drift toward start-of-list context,0.9999943971633911,free,2.220446049250313e-16,0.9999999999999998
F,Emotion-based learning boost + LPP-based learning boost for negative items only,EEM_eCMR_LPP_EmotionalOnly,recall_drift_rate,\beta_{\mathrm{rec}}^{T},Temporal-context reinstatement after recall,0.15336653590202332,free,2.220446049250313e-16,0.9999999999999998
F,Emotion-based learning boost + LPP-based learning boost for negative items only,EEM_eCMR_LPP_EmotionalOnly,source_recall_drift_rate,\beta_{\mathrm{rec}}^{S},Source-context reinstatement after recall,1.0,fixed,,
F,Emotion-based learning boost + LPP-based learning boost for negative items only,EEM_eCMR_LPP_EmotionalOnly,shared_support,\alpha,Shared pre-experimental context-to-item support,1.8590167760849,free,2.220446049250313e-16,100.0
F,Emotion-based learning boost + LPP-based learning boost for negative items only,EEM_eCMR_LPP_EmotionalOnly,item_support,\delta,Item-specific pre-experimental context-to-item support,27.33430290222168,free,2.220446049250313e-16,100.0
F,Emotion-based learning boost + LPP-based learning boost for negative items only,EEM_eCMR_LPP_EmotionalOnly,learning_rate,\gamma,Feature-to-context learning rate,0.21390840411186218,free,2.220446049250313e-16,0.9999999999999998
F,Emotion-based learning boost + LPP-based learning boost for negative items only,EEM_eCMR_LPP_EmotionalOnly,primacy_scale,\phi_s,Primacy scale,0.22805720567703247,free,2.220446049250313e-16,100.0
F,Emotion-based learning boost + LPP-based learning boost for negative items only,EEM_eCMR_LPP_EmotionalOnly,primacy_decay,\phi_d,Primacy decay,57.41071701049805,free,2.220446049250313e-16,100.0
F,Emotion-based learning boost + LPP-based learning boost for negative items only,EEM_eCMR_LPP_EmotionalOnly,choice_sensitivity,\tau_c,Recall-choice sensitivity,1.577230453491211,free,2.220446049250313e-16,100.0
F,Emotion-based learning boost + LPP-based learning boost for negative items only,EEM_eCMR_LPP_EmotionalOnly,source_learning_rate,\omega,Source learning relative to temporal learning,0.9299607276916504,free,2.220446049250313e-16,10.0
F,Emotion-based learning boost + LPP-based learning boost for negative items only,EEM_eCMR_LPP_EmotionalOnly,emotion_scale,\phi_{\mathrm{emot}},Categorical multiplier for negative items,1.9459059238433838,free,2.220446049250313e-16,10.0
F,Emotion-based learning boost + LPP-based learning boost for negative items only,EEM_eCMR_LPP_EmotionalOnly,lpp_main_scale,\kappa,General Early-LPP slope on log learning strength,0.0,fixed,,
F,Emotion-based learning boost + LPP-based learning boost for negative items only,EEM_eCMR_LPP_EmotionalOnly,lpp_inter_scale,\kappa_{\mathrm{emot}},Emotion-dependent Early-LPP slope increment,0.12805306911468506,free,0.0,0.21454430108484696
